Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.9087887313934426,37.58023254367409,37.2845790583735,-432930.08196721313,4409.0,283.0,0
1.7601958551899997,18.930906422568448,18.729402411201004,-399227.91,4409.0,283.0,1
1.5242492850303029,16.15399392275115,16.0775907045175,-345713.1515151515,4409.0,283.0,2
1.414992889896226,32.520781588484965,32.319889295017006,-320932.8396226415,4409.0,283.0,3
1.7958759837868024,38.05461209644234,37.76096254928551,-407320.4771573604,4409.0,283.0,4
1.544737514244019,35.00375207276947,34.759667057419996,-350360.0622009569,4409.0,283.0,5
1.5114397715046728,34.90972440244343,34.691317493877506,-342807.84112149535,4409.0,283.0,6
2.050086710474747,21.702217917085672,21.613373670150004,-464977.70707070705,4409.0,283.0,7
1.4232452458881988,24.78012297615943,24.661103590448498,-322804.5465838509,4409.0,283.0,8
1.7961424253591545,27.292384153332353,27.093511839417,-407380.90845070424,4409.0,283.0,9
