Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.4222928969090909,27.16152745227291,26.905681252747,-322588.54545454547,4409.0,283.0,0
1.5954039148295456,30.298315746527898,30.162728291525998,-361851.6477272727,4409.0,283.0,1
1.491118448034682,28.055393599772543,27.873747025875506,-338198.78612716764,4409.0,283.0,2
1.5965470232329546,30.516399802074694,30.219861559677994,-362110.9147727273,4409.0,283.0,3
1.507779721173184,29.305206660722003,29.191618608728,-341977.7094972067,4409.0,283.0,4
1.4852878066958761,31.49552794098605,31.2475785764495,-336876.3453608247,4409.0,283.0,5
1.4599886538304092,27.136809108745815,27.122264903648997,-331138.2748538012,4409.0,283.0,6
1.524867847502793,29.66782884101434,29.442772302740003,-345853.4469273743,4409.0,283.0,7
1.395879578754491,25.385466019229174,25.254502688685996,-316597.77245508984,4409.0,283.0,8
1.6187107196214687,30.954605091321348,30.679330576826505,-367137.8361581921,4409.0,283.0,9
