Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.4408978987317071,19.241750539663215,19.094524486012002,-326882.46341463417,4408.0,273.0,0
1.5413036035968994,21.516598306212718,21.388265840584005,-349660.52713178296,4408.0,273.0,1
1.4658202721250002,20.366106860904754,20.16238957758,-332536.359375,4408.0,273.0,2
1.4913651305196851,20.804543570749605,20.633067944892,-338331.47244094487,4408.0,273.0,3
1.477827164507937,20.225542573455627,19.961196968128,-335260.24603174604,4408.0,273.0,4
1.555939214875,21.52486309858075,21.262001122616,-352980.765625,4408.0,273.0,5
1.5704790815118113,21.71972569730835,21.537765860484,-356279.2834645669,4408.0,273.0,6
1.5794582432903226,21.210544749145743,21.090192305079995,-358316.2983870968,4408.0,273.0,7
1.5110946203809525,20.69141863687638,20.471723595932,-342807.3095238095,4408.0,273.0,8
1.312836332927536,19.7096118662411,19.579843945980002,-297830.384057971,4408.0,273.0,9
