Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.3139809037333334,27.689519584372537,27.478774861902004,-299039.8051282051,4394.0,267.0,0
1.2861824455477386,27.8715735950195,27.737867331148003,-292713.34673366835,4394.0,267.0,1
1.2660684195899998,27.654732489104365,27.40577527032801,-288135.735,4394.0,267.0,2
1.441535447029703,31.68350759026584,31.349193581706004,-328069.0594059406,4394.0,267.0,3
1.2889707865185187,26.58502247194445,26.330898708361,-293347.9259259259,4394.0,267.0,4
1.4607654821632658,31.06317797820185,30.840506223682993,-332445.48979591834,4394.0,267.0,5
1.3201536037857144,28.234125124165075,28.077217836174015,-300444.60714285716,4394.0,267.0,6
1.4057912612879582,29.16876288046384,28.902495266957,-319934.28795811516,4394.0,267.0,7
1.4014633634158415,30.7425003398899,30.567085432338004,-318949.3316831683,4394.0,267.0,8
1.3984432065658539,31.119556675709948,30.746352881321997,-318261.9951219512,4394.0,267.0,9
