Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.3872440617142858,28.514801688537144,28.24252565699401,-314996.38095238095,4404.0,284.0,0
1.750998104,20.744074538088,20.591079492209992,-397592.6666666667,4404.0,284.0,1
1.3778158618217822,30.40564043868309,30.028752386796,-312855.55445544556,4404.0,284.0,2
1.3003061625527639,28.150328113104788,27.919914314334005,-295255.7135678392,4404.0,284.0,3
1.693376102464286,20.14270873881268,20.00265528297,-384508.65178571426,4404.0,284.0,4
1.366903579542857,31.345832886076796,30.96684150811199,-310377.7428571429,4404.0,284.0,5
1.7563293642162165,20.833578918332762,20.66530842777,-398803.2162162162,4404.0,284.0,6
1.4372859289769584,33.8337107681176,33.496946092091996,-326359.20276497694,4404.0,284.0,7
1.5579567921250002,32.548833301075504,32.08223234220601,-353759.4895833333,4404.0,284.0,8
1.4175078418125,29.638671464457563,29.34469612569,-321868.265625,4404.0,284.0,9
