Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.4704825914972375,28.6920563252941,28.65811516925301,-333518.3922651934,4409.0,283.0,0
1.5756055546324321,31.496355037102315,31.32064172473449,-357361.20540540543,4409.0,283.0,1
1.5143664678959536,28.139957706442612,28.043997412849492,-343471.6416184971,4409.0,283.0,2
1.5694861804397902,32.24980203567681,32.1367902289015,-355973.277486911,4409.0,283.0,3
1.5909946190645161,31.718068725670193,31.618243402650005,-360851.5806451613,4409.0,283.0,4
1.6450778189263158,33.646776630499936,33.47176902274799,-373118.1263157895,4409.0,283.0,5
1.6043092578578948,32.81775017874109,32.687948402217486,-363871.45789473684,4409.0,283.0,6
1.5078556610666667,31.508151893649067,31.375573208830502,-341994.93333333335,4409.0,283.0,7
1.1850696837206405,51.30522181731769,45.06621504466699,-244245.77046263346,4409.0,283.0,8
1.514539840728205,31.828054752903228,31.798805949020508,-343510.9641025641,4409.0,283.0,9
