Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.6559447400000002,17.894138860440002,17.724923816925,-374224.8,4425.0,271.0,0
1.6015280702970296,17.42942998904257,17.241982195387497,-361927.24752475246,4425.0,271.0,1
1.8400382362500003,19.82825203383,19.590070293037495,-415827.85,4425.0,271.0,2
1.6001595623762381,17.472142261586146,17.316822120824998,-361617.9801980198,4425.0,271.0,3
1.3009044984848483,13.892359139319696,13.784996757412499,-293989.71717171714,4425.0,271.0,4
1.5513914621287124,16.841905712869302,16.729351492124998,-350596.9405940594,4425.0,271.0,5
1.8100868125,19.8910439825625,19.63119739575,-409059.1666666667,4425.0,271.0,6
1.457684402184466,16.28379245680267,16.164223644224997,-329420.2038834951,4425.0,271.0,7
1.7666037029702968,19.35491016974257,19.0764087572625,-399232.47524752474,4425.0,271.0,8
1.630152804605263,20.106304692001313,19.91533287615,-368396.1140350877,4425.0,271.0,9
