Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.6962120888888887,49.14774527555555,49.00020608243399,-384977.77777777775,4406.0,300.0,0
1.5701892939919677,42.088924025454695,41.856353095659,-356375.2369477912,4406.0,300.0,1
1.5876018716592593,46.04680468560516,45.786805917512,-360327.2518518519,4406.0,300.0,2
1.559208514626415,44.74928436977811,44.45018932378,-353883.0037735849,4406.0,300.0,3
1.6466382824881889,44.88241966578057,44.685208569145004,-373726.3464566929,4406.0,300.0,4
1.5732193777272727,44.795848561406366,44.455873277471,-357062.95454545453,4406.0,300.0,5
1.553623842549618,43.79665612147374,43.513024347028,-352615.48854961834,4406.0,300.0,6
1.5756356920238095,42.61779419785999,42.438896679306,-357611.36904761905,4406.0,300.0,7
1.5635097203717472,45.30894818665286,45.189989898757,-354859.219330855,4406.0,300.0,8
1.5320054184258554,43.35728534687013,43.163569297343,-347708.90114068444,4406.0,300.0,9
