Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.2709375918,33.565461799438005,33.194652460932005,-288325.225,4408.0,273.0,0
1.1857300343966248,30.86218133527535,30.578029904468,-268995.0168776371,4408.0,273.0,1
1.301982669724771,31.17597502655964,30.866496029856002,-295368.11926605506,4408.0,273.0,2
1.6359177657599997,17.59593148851456,17.47445013458,-371124.72,4408.0,273.0,3
1.4614574127999997,15.582058935273599,15.574451206864005,-331546.6,4408.0,273.0,4
1.304273319888372,30.743026423088818,30.389033770379996,-295887.77674418606,4408.0,273.0,5
1.5748558319223307,17.389558096086375,17.282818073795998,-357272.1941747573,4408.0,273.0,6
1.7276176983200002,18.39740086940968,18.293823363931995,-391927.79,4408.0,273.0,7
1.4186754023568466,37.40053963233355,36.96744338439201,-321841.0622406639,4408.0,273.0,8
1.248512203642553,32.224099976014294,31.94980395654799,-283237.79574468086,4408.0,273.0,9
