Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.0620631939872613,55.53634647678788,55.016179129335,-241268.33121019107,4402.0,248.0,0
1.4736676576858636,30.658181950496704,30.458252202724008,-334772.29842931934,4402.0,248.0,1
1.5493204453168317,33.99673853158724,33.772287276296,-351958.301980198,4402.0,248.0,2
1.5025763853404255,30.33401206725251,30.273951995963998,-341339.47872340423,4402.0,248.0,3
1.541200125569061,30.105803252866036,29.988707546303992,-350113.6132596685,4402.0,248.0,4
1.443082957514563,32.15910370821204,31.984480007042002,-327824.3883495146,4402.0,248.0,5
1.5187222029805822,33.95710973644284,33.646251197598,-345007.3155339806,4402.0,248.0,6
1.2892473389387755,27.42486939390563,27.239725023107,-292877.63265306124,4402.0,248.0,7
1.3688773533768843,29.647145719436562,29.479407688348,-310967.1407035176,4402.0,248.0,8
1.4697235262829267,32.752788783215024,32.551010244988,-333876.31219512195,4402.0,248.0,9
