Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.4753501969325153,25.963212765618405,25.75374088305199,-335764.7239263804,4394.0,267.0,0
1.6090442408877008,32.583145877975944,32.255642666325,-366191.2245989305,4394.0,267.0,1
1.3824625146987954,24.87188310194603,24.743836533832,-314625.0602409639,4394.0,267.0,2
1.4231071223728815,27.362080641863393,27.15636311702601,-323875.0847457627,4394.0,267.0,3
1.4516067985921788,28.233752232617878,27.953284846474006,-330361.1284916201,4394.0,267.0,4
1.5083262365853658,26.82558211767073,26.579199702549,-343269.51219512196,4394.0,267.0,5
1.5223985340981594,26.877946119503004,26.713477394175,-346472.12883435586,4394.0,267.0,6
1.4906761163218392,27.817507006681844,27.618739283707004,-339252.6436781609,4394.0,267.0,7
1.3691551549634147,24.228569622232587,24.168547527254002,-311596.5304878049,4394.0,267.0,8
1.1024769094506437,28.360116018708357,27.974180939692005,-250905.0772532189,4394.0,267.0,9
