Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.6055073464727274,28.587663811293385,28.391394830886,-364556.61818181816,4404.0,284.0,0
1.5503878090285714,29.362794715192113,29.119838765771995,-352040.82857142854,4404.0,284.0,1
1.6367021223354037,28.357500971583207,28.20311791191,-371639.900621118,4404.0,284.0,2
1.5435592658372093,28.725637937230463,28.454483104169995,-350490.2965116279,4404.0,284.0,3
1.4653371029518716,29.60420549093666,29.314059994757997,-332728.67914438504,4404.0,284.0,4
1.4727662123181817,28.02526825420268,27.810665902602004,-334415.57954545453,4404.0,284.0,5
1.483216875372973,29.401808120518446,29.218134136638,-336788.572972973,4404.0,284.0,6
1.448840751959391,31.14428080411907,30.723487268922007,-328982.9137055838,4404.0,284.0,7
1.7353176177831322,31.046567499758016,30.752815761971995,-394032.156626506,4404.0,284.0,8
1.3728311393175356,31.399393818470674,31.123699293582,-311723.69194312795,4404.0,284.0,9
