Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.3560143185703424,39.1060969332501,38.69660980486,-307625.752851711,4408.0,273.0,0
1.3186914600625002,36.816546873484945,36.57733279469201,-299158.6796875,4408.0,273.0,1
1.550193507046025,40.238372862393675,39.849587996463995,-351677.2928870293,4408.0,273.0,2
1.3887037239134197,34.99116773144643,34.595987618932,-315041.67965367966,4408.0,273.0,3
1.4122026239670784,37.37253024066476,37.09720946932799,-320372.646090535,4408.0,273.0,4
1.4668907816910572,39.20852370382027,38.822026796104,-332779.2154471545,4408.0,273.0,5
1.3706927984881891,37.9956043740926,37.67373652131599,-310955.7165354331,4408.0,273.0,6
1.3298406211428573,38.687723350288,38.32550161828,-301687.9812030075,4408.0,273.0,7
1.3548630833333333,37.165249238916665,36.84747876295601,-307364.5833333333,4408.0,273.0,8
1.3351244266666669,39.906869113066676,39.62393246369201,-302886.6666666667,4408.0,273.0,9
