Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.7983408185140182,20.808601611025704,20.590756631858497,-407879.523364486,4409.0,283.0,0
1.6940259799999997,18.368323701139996,18.308848861587,-384220.0,4409.0,283.0,1
1.6538103123564354,17.98187952625152,17.850673422993495,-375098.7326732673,4409.0,283.0,2
2.0981871057000006,22.65412618024291,22.641238952773495,-475887.3,4409.0,283.0,3
1.5373128167547172,17.632978008176607,17.488804626745996,-348676.07547169813,4409.0,283.0,4
1.6457755428316834,17.899454803837386,17.761226708475494,-373276.37623762374,4409.0,283.0,5
1.7882105625196072,19.54335323777679,19.348875788722495,-405581.89215686277,4409.0,283.0,6
1.9633544185400005,21.162997277442663,20.9984674125955,-445306.06,4409.0,283.0,7
1.7447867533465347,19.065284853817584,18.912280806866498,-395732.9900990099,4409.0,283.0,8
1.627870793696079,17.891927893513603,17.737830226523496,-369215.42156862747,4409.0,283.0,9
